cod_qc,nombre,lat,lon,altitud_oficial,dept,sector,umbral_pp,umbral_t,radio_pp,radio_t,delta_z,clase_diagnostico,area_pp_km2,radio_pp_km,n_px_pp,area_temp_km2,radio_temp_km,n_px_temp
qc00105120,CHUSIS,-5.51694,-80.83361,10,PIURA,COSTA NORTE,80,150,70,120,6.686990737915039,Consistente,11674.4967,60.96,12971663,28231.6383,94.797,31368487
qc00104056,NAUTA,-4.51336,-73.58375,101,LORETO,SELVA NORTE BAJA,80,150,60,100,-7.7014312744140625,Consistente,11267.0955,59.887,12518995,31415.9031,100.0,34906559
qc472DD33A,PUNO,-15.82625,-70.01208,3819,PUNO,SIERRA SUR ORIENTAL,100,200,20,40,3.440185546875,Consistente,738.2628,15.33,820292,3776.2299,34.67,4195811
qc47256412,ENAFER,-15.83647,-70.016,3812,PUNO,SIERRA SUR ORIENTAL,100,200,20,40,-0.06787109375,Consistente,695.6532,14.881,772948,3681.2997,34.231,4090333
qc472E4156,ILLPA,-15.68726,-70.07988,3822,PUNO,SIERRA SUR ORIENTAL,100,200,20,40,7.15673828125,Consistente,1075.041,18.499,1194490,3954.2805,35.478,4393645
qc472CB426,LARAQUERI,-16.13592,-70.04589,3933,PUNO,SIERRA SUR ORIENTAL,100,200,20,40,5.995849609375,Consistente,607.7412,13.909,675268,2434.8285,27.839,2705365
qc00270202,PUENTE AZANGARO,-14.92139,-70.18861,3843,,SIERRA SUR ORIENTAL,100,200,20,40,-0.271728515625,Consistente,555.5844,13.298,617316,3117.1788,31.5,3463532
qc00114138,MACUSANI,-14.06675,-70.42206,4358,PUNO,SIERRA SUR ORIENTAL,100,200,20,40,3.51708984375,Consistente,212.94,8.233,236600,1847.1402,24.248,2052378
qc47E2D1CC,TARATA,-17.47937,-70.03665,3052,TACNA,SIERRA SUR OCCIDENTAL,100,200,30,60,20.114501953125,Consistente,226.9323,8.499,252147,691.6158,14.837,768462
qc47E9177A,EL CIRUELO,-4.29899,-80.1673,243,PIURA,COSTA NORTE,80,150,70,120,16.912628173828125,Consistente,3076.3386,31.293,3418154,12775.3704,63.769,14194856
qc47E292C6,CHUAPALCA,-17.30882,-69.66179,4204,TACNA,SIERRA SUR OCCIDENTAL,100,200,30,60,8.80859375,Consistente,1023.255,18.047,1136950,5169.5451,40.565,5743939
qc47E2A75C,VILACOTA,-17.07909,-70.04302,4468,TACNA,SIERRA SUR OCCIDENTAL,100,200,30,60,12.52294921875,Consistente,689.6448,14.816,766272,4344.1758,37.186,4826862
