cod_qc,nombre,lat,lon,altitud_oficial,altitud_dem,delta_z,clase_diagnostico,dept,fuente,sector,cod_sector,umbral_pp,umbral_t,radio_pp,radio_t
qc47E89394,PACHACOTO,-9.85243,-77.40607,3723,3725.556396484375,-2.556396484375,Consistente,ANCASH,maestra,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc47259496,RECUAY,-9.72919,-77.45365,3431,3412.43798828125,18.56201171875,Consistente,ANCASH,maestra,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00114119,VISCA VISCA,-14.7228,-71.9787,4247,4257.7646484375,-10.7646484375,Consistente,AREQUIPA,maestra,SIERRA SUR ORIENTAL,SI_3OR,100,200,20,40
qc00115150,COROPUNA,-15.53597,-72.61056,5800,5663.9404296875,136.0595703125,Discrepancia leve,AREQUIPA,maestra,SIERRA SUR OCCIDENTAL,SI_3OC,100,200,30,60
qc00117061,PAMPA BLANCA,-17.07161,-71.72453,100,99.93496704101562,0.065032958984375,Consistente,,maestra,COSTA SUR,CO_3,80,150,70,120
qc00115151,CUYAU,-15.21794,-72.93564,2222,2238.2021484375,-16.2021484375,Consistente,AREQUIPA,maestra,SIERRA SUR OCCIDENTAL,SI_3OC,100,200,30,60
qc47280292,COTAHUASI,-15.21134,-72.89331,2683,2689.12451171875,-6.12451171875,Consistente,AREQUIPA,maestra,SIERRA SUR OCCIDENTAL,SI_3OC,100,200,30,60
qc4729D600,PAMPA CANGALLO,-13.56184,-74.19889,3315,3303.87060546875,11.12939453125,Consistente,AYACUCHO,maestra,SIERRA SUR ORIENTAL,SI_3OR,100,200,20,40
qc00113248,SANTA CRUZ DE HOSPICIO,-13.4383,-74.7993,4068,4240.05078125,-172.05078125,Discrepancia moderada,AYACUCHO,maestra,SIERRA SUR ORIENTAL,SI_3OR,100,200,20,40
qc47290068,HUAC-HUAS,-14.12861,-74.94583,3178,3178.1064453125,-0.1064453125,Consistente,AYACUCHO,maestra,SIERRA SUR OCCIDENTAL,SI_3OC,100,200,30,60
qc00114122,CCONTACC,-14.5423,-74.2642,3615,3701.3115234375,-86.3115234375,Discrepancia leve,AYACUCHO,maestra,SIERRA SUR OCCIDENTAL,SI_3OC,100,200,30,60
qc00114127,PAMPA GALERAS,-14.66917,-74.40361,3998,3951.095947265625,46.904052734375,Consistente,AYACUCHO,maestra,SIERRA SUR OCCIDENTAL,SI_3OC,100,200,30,60
qc00114121,HURAY HUMA,-14.564,-73.5558,4223,4194.63623046875,28.36376953125,Consistente,AYACUCHO,maestra,SIERRA SUR OCCIDENTAL,SI_3OC,100,200,30,60
qc00115155,PAUZA,-15.275,-73.34083,2477,2484.271484375,-7.271484375,Consistente,AYACUCHO,maestra,SIERRA SUR OCCIDENTAL,SI_3OC,100,200,30,60
qc4725B27A,PAUCARAY,-14.04361,-73.63833,3106,3227.090576171875,-121.090576171875,Discrepancia leve,AYACUCHO,maestra,SIERRA SUR ORIENTAL,SI_3OR,100,200,20,40
qc472645F0,UNC CAJAMARCA,-7.16747,-78.49307,2673,2673.23681640625,-0.23681640625,Consistente,CAJAMARCA,maestra,SIERRA NORTE ORIENTAL,SI_1OR,100,200,12,25
qc4729F0EC,CAJABAMBA,-7.62167,-78.05111,2625,2618.786376953125,6.213623046875,Consistente,CAJAMARCA,maestra,SIERRA NORTE ORIENTAL,SI_1OR,100,200,12,25
qc472A32FC,CRISNEJAS,-7.4639,-78.1131,1992,1985.4884033203125,6.5115966796875,Consistente,CAJAMARCA,maestra,SIERRA NORTE ORIENTAL,SI_1OR,100,200,12,25
qc4726631C,CELENDIN,-6.85303,-78.14487,2607,2602.013427734375,4.986572265625,Consistente,CAJAMARCA,maestra,SIERRA NORTE ORIENTAL,SI_1OR,100,200,12,25
qc472501F4,BALSAS,-6.84461,-78.03025,871,842.0,29.0,Consistente,CAJAMARCA,maestra,SIERRA NORTE ORIENTAL,SI_1OR,100,200,12,25
