cod_qc_obj,nombre_obj,dept_obj,sector_obj,cod_qc_vecina,nombre_vecina,dept_vecina,sector_vecina,dist_km,dz_par,mismo_sector,misma_region,r_pp,p_pp,r_temp,altitud_vec,inhomogeneidad_obj
qc00152107,VIRREY,LAMBAYEQUE,COSTA NORTE,qc47E067B6,SALITRAL,PIURA,COSTA NORTE,30.353,50.0,True,True,,,,156.0,False
qc00152107,VIRREY,LAMBAYEQUE,COSTA NORTE,qc4726F67E,PASABAR,LAMBAYEQUE,COSTA NORTE,33.487,82.0,True,True,,,,124.0,False
qc00000333,JAYANCA (LA VI�A),LAMBAYEQUE,COSTA NORTE,qc00153114,PUCHACA,LAMBAYEQUE,COSTA NORTE,33.968,271.0,True,True,-0.1893,3e-06,,336.0,False
qc00000333,JAYANCA (LA VI�A),LAMBAYEQUE,COSTA NORTE,qc00106047,JAYANCA,LAMBAYEQUE,COSTA NORTE,0.14,13.0,True,True,,,,78.0,False
qc00000333,JAYANCA (LA VI�A),LAMBAYEQUE,COSTA NORTE,qc47201542,TONGORRAPE,LAMBAYEQUE,COSTA NORTE,31.447,115.0,True,True,,,,180.0,False
qc00000333,JAYANCA (LA VI�A),LAMBAYEQUE,COSTA NORTE,qc00106120,PUCHACA,LAMBAYEQUE,COSTA NORTE,33.933,271.0,True,True,,,,336.0,False
qc00000333,JAYANCA (LA VI�A),LAMBAYEQUE,COSTA NORTE,qc00200801,PUCHACA,LAMBAYEQUE,COSTA NORTE,34.209,280.0,True,True,,,,345.0,False
qc00000333,JAYANCA (LA VI�A),LAMBAYEQUE,COSTA NORTE,qc00106138,PUCHACA,LAMBAYEQUE,COSTA NORTE,34.242,271.0,True,True,,,,336.0,False
qc00155231,INGENIO,JUNIN,SIERRA CENTRAL ORIENTAL,qc00000635,HUAYAO,JUNIN,SIERRA CENTRAL ORIENTAL,18.363,57.0,True,True,0.1001,0.014133,,3316.0,False
qc00155231,INGENIO,JUNIN,SIERRA CENTRAL ORIENTAL,qc00111097,INGENIO,JUNIN,SIERRA CENTRAL ORIENTAL,1.155,0.0,True,True,,,,3373.0,False
qc00155231,INGENIO,JUNIN,SIERRA CENTRAL ORIENTAL,qc00111296,MANTARO,,SIERRA CENTRAL ORIENTAL,12.433,59.0,True,True,,,,3314.0,False
qc00155231,INGENIO,JUNIN,SIERRA CENTRAL ORIENTAL,qc00000477,SANTA ANA,JUNIN,SIERRA CENTRAL ORIENTAL,15.554,71.0,True,True,,,,3302.0,False
qc00155231,INGENIO,JUNIN,SIERRA CENTRAL ORIENTAL,qc00112083,SANTA ANA,JUNIN,SIERRA CENTRAL ORIENTAL,16.047,84.0,True,True,,,,3289.0,False
qc00155231,INGENIO,JUNIN,SIERRA CENTRAL ORIENTAL,qc00111294,MUQUI,,SIERRA CENTRAL ORIENTAL,17.045,55.0,True,True,,,,3318.0,False
qc00000608,VIQUES,JUNIN,SIERRA CENTRAL ORIENTAL,qc00000635,HUAYAO,JUNIN,SIERRA CENTRAL ORIENTAL,17.861,131.0,True,True,0.084,0.040623,,3316.0,False
qc00000608,VIQUES,JUNIN,SIERRA CENTRAL ORIENTAL,qc00112037,VIQUES,JUNIN,SIERRA CENTRAL ORIENTAL,1.093,0.0,True,True,,,,3185.0,False
