estacion,cod,cod_qc,cod_ho,lat,lon,altitud,departamento
TULUCE,152127,qc00152127,ho00152127,-5.49139,-79.37278,1938,PIURA
SAN PEDRO,150001,qc00150001,ho00150001,-5.07917,-80.01631,239,PIURA
CHULUCANAS,255,qc00000255,ho00000255,-5.10028,-80.16667,2283,PIURA
MORROPON,235,qc00000235,ho00000235,-5.19444,-79.97111,140,PIURA
HACIENDA BIGOTE,152111,qc00152111,ho00152111,-5.32083,-79.78569,827,PIURA
LA ESPERANZA,230,qc00000230,ho00000230,-4.91694,-81.05736,6,PIURA
LANCONES,152103,qc00152103,ho00152103,-4.56694,-80.48361,150,PIURA
MALLARES,208,qc00000208,ho00000208,-4.85028,-80.73325,46,PIURA
PANANGA,152101,qc00152101,ho00152101,-4.55917,-80.89806,500,PIURA
CHUSIS,231,qc00000231,ho00000231,-5.52417,-80.80628,6,PIURA
BERNAL,152100,qc00152100,ho00152100,-5.45103,-80.73753,11,PIURA
PUNO,708,qc00000708,ho00000708,-15.82625,-70.01208,3819,PUNO
ISLA TAQUILE,818,qc00000818,ho00000818,-15.72047,-69.691,3815,PUNO
CAPACHICA,788,qc00000788,ho00000788,-15.60636,-69.83214,3822,PUNO
AZANGARO,781,qc00000781,ho00000781,-14.91436,-70.19075,3851,PUNO
ARAPA,783,qc00000783,ho00000783,-15.13625,-70.11822,3829,PUNO
PROGRESO,778,qc00000778,ho00000778,-14.69011,-70.02353,3913,PUNO
MU�ANI,785,qc00000785,ho00000785,-14.76694,-69.95181,4119,PUNO
CRUCERO,7415,qc00007415,ho00007415,-14.36419,-70.02592,4128,PUNO
JULI,880,qc00000880,ho00000880,-16.20378,-69.45992,3830,PUNO
DESAGUADERO,883,qc00000883,ho00000883,-16.56335,-69.03883,3824,PUNO
PIZACOMA,881,qc00000881,ho00000881,-16.90703,-69.36856,3924,PUNO
ILAVE,879,qc00000879,ho00000879,-16.0675,-69.66194,3861,PUNO
CAPAZO,158326,qc00158326,ho00158326,-17.18772,-69.7355,4481,PUNO
MAZO CRUZ,878,qc00000878,ho00000878,-16.739,-69.71547,3970,PUNO
HUANCANE,786,qc00000786,ho00000786,-15.2015,-69.75356,3842,PUNO
COJATA,827,qc00000827,ho00000827,-15.01667,-69.35556,4339,PUNO
LAMPA,779,qc00000779,ho00000779,-15.67344,-70.37211,2790,PUNO
PAMPAHUTA,762,qc00000762,ho00000762,-15.48353,-70.67578,4311,PUNO
PUCARA,815,qc00000815,ho00000815,-15.04561,-70.36664,3866,PUNO
CRUCERO ALTO,803,qc00000803,ho00000803,-15.76421,-70.91621,4470,PUNO
AYAVIRI,776,qc00000776,ho00000776,-14.87267,-70.59289,3224,PUNO
SANTA ROSA,823,qc00000823,ho00000823,-14.62375,-70.78653,3947,PUNO
CHUQUIBAMBILLA,764,qc00000764,ho00000764,-14.78478,-70.71569,3971,PUNO
HUARAYA MOHO,787,qc00000787,ho00000787,-15.38828,-69.48428,3890,PUNO
PUTINA,157414,qc00157414,ho00157414,-14.91489,-69.86803,3858,PUNO
ANANEA,826,qc00000826,ho00000826,-14.67872,-69.53453,4689,PUNO
CABANILLAS,780,qc00000780,ho00000780,-15.16958,-69.96989,3885,PUNO
CUYO CUYO,157418,qc00157418,ho00157418,-14.48892,-69.549,3494,PUNO
TAHUACO - YUNGUYO,882,qc00000882,ho00000882,-16.30783,-69.07472,3860,PUNO
ISLA SUANA,822,qc00000822,ho00000822,-16.33022,-68.85094,3830,PUNO
JEPELACIO,153300,qc00153300,ho00153300,-6.11542,-76.90278,1064,SAN MARTIN
SORITOR,153226,qc00153226,ho00153226,-6.14528,-77.09472,902,SAN MARTIN
DOS DE MAYO (J. OLAYA),153225,qc00153225,ho00153225,-7.40778,-76.40611,316,SAN MARTIN
NUEVO LIMA,153312,qc00153312,ho00153312,-7.12611,-76.48278,305,SAN MARTIN
SAN PABLO,153307,qc00153307,ho00153307,-6.80944,-76.57306,270,SAN MARTIN
ALAO,3308,qc00003308,ho00003308,-6.51889,-76.73,421,SAN MARTIN
SAPOSOA,211,qc00000211,ho00000211,-6.90028,-76.76694,308,SAN MARTIN
LAMAS,383,qc00000383,ho00000383,-6.42278,-76.51722,850,SAN MARTIN
PONGO DE CAYNARACHI,3317,qc00003317,ho00003317,-6.33361,-76.30028,240,SAN MARTIN
TABALOSOS,322,qc00000322,ho00000322,-6.41639,-76.6125,486,SAN MARTIN
CU�UMBUQUE,153311,qc00153311,ho00153311,-6.50028,-76.50028,400,SAN MARTIN
PICOTA,153313,qc00153313,ho00153313,-6.93361,-76.33361,222,SAN MARTIN
PILLUANA,153316,qc00153316,ho00153316,-6.77861,-76.28056,207,SAN MARTIN
NARANJILLO,219,qc00000219,ho00000219,-5.82611,-77.38722,877,SAN MARTIN
CHAZUTA,153319,qc00153319,ho00153319,-6.56889,-76.09833,203,SAN MARTIN
PELEJO,153322,qc00153322,ho00153322,-6.21556,-75.79,139,SAN MARTIN
PUCALLPA - HUIMBAYOC,153320,qc00153320,ho00153320,-6.45278,-75.84556,160,SAN MARTIN
EL PORVENIR,310,qc00000310,ho00000310,-6.58361,-76.31694,202,SAN MARTIN
