,CODE,ESTACION,LON,LAT,ALT
55,X472680EE,BAMBAMARCA GORE,-78.52363,-6.67996,2565
56,X4726D092,BAMBAMARCA H GORE,-78.54119,-6.66975,2866
57,X4729F0EC,CAJABAMBA GORE,-78.05111,-7.62167,2480
58,X472D8346,CALLANCAS,-78.47729,-7.7675,1501
59,X472EB1D2,CAPACHIQUE,-78.31184,-7.85642,2904
60,X472D30C8,CASA GRANDE,-79.18869,-7.75031,145
61,X472C92CA,CASCABAMBA,-78.72682,-7.38407,3390
62,X472EA2A4,CASCAS,-78.82367,-7.47987,1251
63,X4726631C,CELENDIN GORE,-78.14487,-6.85303,2602
64,X4720C32A,CHIMBOTE,-78.52591,-9.15054,11
65,X4726C3E4,CHOTA GORE,-78.67588,-6.55405,2255
66,X4727F484,CHUGUR,-78.73333,-6.66667,2744
67,X472D4658,COSPAN,-78.54106,-7.42856,2423
68,X472A32FC,CRISNEJAS,-78.11317,-7.46335,1996
69,X4726A602,CUTERVO GORE,-78.81339,-6.37914,2616
70,X47E0A2A8,EL TAMBO,-78.70694,-7.57417,700
71,X472C81BC,GUZMANGO,-78.9033,-7.38133,2464
72,X472A571A,HUALLAPE,-78.69759,-5.45077,409
73,X47269398,JAEN GORE,-78.77418,-5.67667,618
74,X472D552E,LUCMA,-78.55135,-7.64333,2219
75,X4720B5BA,MALABRIGO (SALAVERRY),-79.43425,-7.69287,4
76,X472CC2B6,MARMOT,-78.66725,-7.7635,2925
77,X4727319A,QUIRUVILCA,-78.3079,-8.00419,4047
78,X4727470A,PUENTE CHILETE,-78.83801,-7.21976,848
79,X472E74CC,PUENTE COINA,-78.38012,-7.79636,1812
80,X472E5220,PUENTE PALMIRA,-78.81051,-7.54919,647
81,X472210B6,RIO GRANDE GORE,-78.52073,-7.09094,2906
82,X47216128,RONQUILLO,-78.54914,-7.15855,3310
83,X4726706A,SAN IGNACIO GORE,-78.99989,-5.14422,1258
84,X4725E206,SAN MARCOS,-78.17275,-7.32254,2287
85,X472645F0,UNC CAJAMARCA,-78.49307,-7.16747,2673
86,X472D60B4,USQUIL,-78.41497,-7.8186,3123
87,X4726E508,YONAN GORE,-79.09909,-7.25592,454
88,X472BF518,AGOCANCHA,-76.15944,-11.71053,4480
89,X472BC082,ANDACANCHA,-76.46667,-11.16528,4620
90,X47E9C112,ANTACOTO,-76.3625,-11.40778,4484
91,X47E244AE,CALLANCA,-76.76952,-11.38887,2641
92,X47E323B2,CARAC,-76.77937,-11.19005,2646
93,X472364DC,CARANIA,-75.87215,-12.3444,3820
